_id,co2,temperatura,humedad,VPD,fecha,sensor,__v
6531417996cc8d75252fb8ca,444,17.42866516,78.48205566,0.428562343,2023-10-19T09:47:21.300Z,650dc7d640e0be7842fc4239,0
653142a596cc8d75252fb8cc,450,17.52746582,78.06396484,0.439622939,2023-10-19T09:52:21.304Z,650dc7d640e0be7842fc4239,0
653143d196cc8d75252fb8ce,445,17.52479553,77.93121338,0.442208916,2023-10-19T09:57:21.296Z,650dc7d640e0be7842fc4239,0
653144fd96cc8d75252fb8d0,444,17.36991882,78.10668945,0.434423089,2023-10-19T10:02:21.298Z,650dc7d640e0be7842fc4239,0
6531462996cc8d75252fb8d2,445,17.62359619,77.40020752,0.45568049,2023-10-19T10:07:21.921Z,650dc7d640e0be7842fc4239,0
6531475896cc8d75252fb8d4,444,17.55950928,77.15759277,0.458714247,2023-10-19T10:12:24.274Z,650dc7d640e0be7842fc4239,0
6531488196cc8d75252fb8d6,447,17.4206543,77.31323242,0.451612651,2023-10-19T10:17:21.262Z,650dc7d640e0be7842fc4239,0
653149ad96cc8d75252fb8d8,445,17.53814697,76.57623291,0.469755322,2023-10-19T10:22:21.253Z,650dc7d640e0be7842fc4239,0
65314ad996cc8d75252fb8da,441,17.67166138,75.71716309,0.491101831,2023-10-19T10:27:21.240Z,650dc7d640e0be7842fc4239,0
65314c0596cc8d75252fb8dc,441,17.61291504,74.97253418,0.504289985,2023-10-19T10:32:21.234Z,650dc7d640e0be7842fc4239,0
65314d3196cc8d75252fb8de,442,17.64228821,74.42932129,0.516190648,2023-10-19T10:37:21.238Z,650dc7d640e0be7842fc4239,0
65314e5d96cc8d75252fb8e0,446,17.64228821,73.91967773,0.526478767,2023-10-19T10:42:21.235Z,650dc7d640e0be7842fc4239,0
65314f8996cc8d75252fb8e2,442,17.86392212,73.1262207,0.55012387,2023-10-19T10:47:21.223Z,650dc7d640e0be7842fc4239,0
653150b596cc8d75252fb8e4,440,17.85324097,73.10943604,0.550097525,2023-10-19T10:52:21.215Z,650dc7d640e0be7842fc4239,0
653151e196cc8d75252fb8e6,441,17.78381348,72.90802002,0.551800311,2023-10-19T10:57:21.675Z,650dc7d640e0be7842fc4239,0
6531530d96cc8d75252fb8e8,439,17.89863586,72.62115479,0.561688721,2023-10-19T11:02:21.273Z,650dc7d640e0be7842fc4239,0
6531543996cc8d75252fb8ea,441,18.09623718,72.34802246,0.57438457,2023-10-19T11:07:21.382Z,650dc7d640e0be7842fc4239,0
6531556596cc8d75252fb8ec,439,18.10958862,71.84448242,0.585334837,2023-10-19T11:12:21.324Z,650dc7d640e0be7842fc4239,0
6531569196cc8d75252fb8ee,438,18.08822632,71.54388428,0.590790629,2023-10-19T11:17:21.326Z,650dc7d640e0be7842fc4239,0
653157bd96cc8d75252fb8f0,438,18.1816864,71.22192383,0.60099262,2023-10-19T11:22:21.322Z,650dc7d640e0be7842fc4239,0
653158e996cc8d75252fb8f2,440,18.25912476,71.00830078,0.608403921,2023-10-19T11:27:21.328Z,650dc7d640e0be7842fc4239,0
65315a1596cc8d75252fb8f4,442,18.19236755,70.69396973,0.612428784,2023-10-19T11:32:21.335Z,650dc7d640e0be7842fc4239,0
65315b4196cc8d75252fb8f6,441,18.36860657,70.19500732,0.629781127,2023-10-19T11:37:21.338Z,650dc7d640e0be7842fc4239,0
65315c6d96cc8d75252fb8f8,440,18.27781677,70.5871582,0.617966115,2023-10-19T11:42:21.342Z,650dc7d640e0be7842fc4239,0
65315d9996cc8d75252fb8fa,439,18.34457397,70.26062012,0.627448499,2023-10-19T11:47:21.354Z,650dc7d640e0be7842fc4239,0
65315ec596cc8d75252fb8fc,438,18.54217529,69.29321289,0.6559304,2023-10-19T11:52:21.341Z,650dc7d640e0be7842fc4239,0
65315ff196cc8d75252fb8fe,438,18.52615356,68.29528809,0.676568091,2023-10-19T11:57:21.324Z,650dc7d640e0be7842fc4239,0
6531611d96cc8d75252fb900,437,18.69171143,68.0770874,0.688318729,2023-10-19T12:02:21.314Z,650dc7d640e0be7842fc4239,0
6531624996cc8d75252fb902,436,18.66767883,68.26171875,0.683309913,2023-10-19T12:07:21.310Z,650dc7d640e0be7842fc4239,0
6531637596cc8d75252fb904,438,18.61160278,68.24798584,0.681211472,2023-10-19T12:12:21.310Z,650dc7d640e0be7842fc4239,0
653164a196cc8d75252fb906,439,18.41667175,69.0032959,0.656938314,2023-10-19T12:17:21.308Z,650dc7d640e0be7842fc4239,0
653165cd96cc8d75252fb908,438,18.62762451,68.6630249,0.672981501,2023-10-19T12:22:21.308Z,650dc7d640e0be7842fc4239,0
653166f996cc8d75252fb90a,439,18.80386353,68.60198975,0.681763709,2023-10-19T12:27:21.308Z,650dc7d640e0be7842fc4239,0
6531682596cc8d75252fb90c,435,18.86260986,67.70324707,0.703856885,2023-10-19T12:32:21.307Z,650dc7d640e0be7842fc4239,0
6531695196cc8d75252fb90e,441,18.8999939,68.14422607,0.695869029,2023-10-19T12:37:21.303Z,650dc7d640e0be7842fc4239,0
65316a7d96cc8d75252fb910,441,18.75312805,69.21691895,0.666295409,2023-10-19T12:42:21.309Z,650dc7d640e0be7842fc4239,0
65316ba996cc8d75252fb912,437,18.86260986,69.20928955,0.671035051,2023-10-19T12:47:21.305Z,650dc7d640e0be7842fc4239,0
65316cd596cc8d75252fb914,439,18.8999939,69.17419434,0.673370004,2023-10-19T12:52:21.311Z,650dc7d640e0be7842fc4239,0
65316e0196cc8d75252fb916,438,19.08424377,69.13146973,0.682099462,2023-10-19T12:57:21.309Z,650dc7d640e0be7842fc4239,0
65316f2d96cc8d75252fb918,440,19.04953003,69.09484863,0.681432068,2023-10-19T13:02:21.301Z,650dc7d640e0be7842fc4239,0
6531705996cc8d75252fb91a,438,19.03617859,68.94683838,0.684125662,2023-10-19T13:07:21.311Z,650dc7d640e0be7842fc4239,0
6531718596cc8d75252fb91c,437,19.00947571,68.91174316,0.683759034,2023-10-19T13:12:21.312Z,650dc7d640e0be7842fc4239,0
653172b196cc8d75252fb91e,438,19.17503357,68.35174561,0.703297257,2023-10-19T13:17:21.308Z,650dc7d640e0be7842fc4239,0
653173dd96cc8d75252fb920,438,19.17236328,67.95654297,0.711961091,2023-10-19T13:22:21.545Z,650dc7d640e0be7842fc4239,0
6531750996cc8d75252fb922,440,19.31121826,67.7520752,0.722726107,2023-10-19T13:27:21.311Z,650dc7d640e0be7842fc4239,0
6531763596cc8d75252fb924,438,19.42337036,68.21899414,0.71724844,2023-10-19T13:32:21.313Z,650dc7d640e0be7842fc4239,0
6531776196cc8d75252fb926,436,19.45808411,67.85583496,0.72701174,2023-10-19T13:37:21.313Z,650dc7d640e0be7842fc4239,0
6531788d96cc8d75252fb928,433,19.26048279,68.24035645,0.709538579,2023-10-19T13:42:21.330Z,650dc7d640e0be7842fc4239,0
653179b996cc8d75252fb92a,435,19.40734863,68.57757568,0.708449602,2023-10-19T13:47:21.318Z,650dc7d640e0be7842fc4239,0
65317ae596cc8d75252fb92c,434,19.51148987,68.7286377,0.70962292,2023-10-19T13:52:21.314Z,650dc7d640e0be7842fc4239,0
65317c1196cc8d75252fb92e,435,19.65301514,68.66912842,0.717249811,2023-10-19T13:57:21.310Z,650dc7d640e0be7842fc4239,0
65317d3d96cc8d75252fb930,435,19.55688477,68.95294189,0.706522644,2023-10-19T14:02:21.317Z,650dc7d640e0be7842fc4239,0
65317e6a96cc8d75252fb932,437,19.62631226,69.04296875,0.707517803,2023-10-19T14:07:22.109Z,650dc7d640e0be7842fc4239,0
65317f9596cc8d75252fb934,433,19.76516724,68.9453125,0.715891302,2023-10-19T14:12:21.306Z,650dc7d640e0be7842fc4239,0
653180c196cc8d75252fb936,435,19.89601135,69.15283203,0.716898143,2023-10-19T14:17:21.307Z,650dc7d640e0be7842fc4239,0
653181ed96cc8d75252fb938,435,19.93606567,69.42596436,0.712315619,2023-10-19T14:22:21.304Z,650dc7d640e0be7842fc4239,0
6531831996cc8d75252fb93a,438,19.94674683,69.57550049,0.709300756,2023-10-19T14:27:21.307Z,650dc7d640e0be7842fc4239,0
6531844596cc8d75252fb93c,438,20.0188446,69.72961426,0.708864868,2023-10-19T14:32:21.397Z,650dc7d640e0be7842fc4239,0
6531857196cc8d75252fb93e,435,20.10162354,69.5098877,0.717676818,2023-10-19T14:37:21.305Z,650dc7d640e0be7842fc4239,0
6531869d96cc8d75252fb940,437,20.25382996,69.47784424,0.725222707,2023-10-19T14:42:21.303Z,650dc7d640e0be7842fc4239,0
653187c996cc8d75252fb942,436,20.19508362,69.70062256,0.717320621,2023-10-19T14:47:21.310Z,650dc7d640e0be7842fc4239,0
653188f596cc8d75252fb944,432,20.37666321,69.76165771,0.723949611,2023-10-19T14:52:21.305Z,650dc7d640e0be7842fc4239,0
65318a2196cc8d75252fb946,438,20.14968872,70.703125,0.691643238,2023-10-19T14:57:21.310Z,650dc7d640e0be7842fc4239,0
65318b4d96cc8d75252fb948,439,20.32859802,70.1965332,0.711423993,2023-10-19T15:02:21.313Z,650dc7d640e0be7842fc4239,0
65318c7996cc8d75252fb94a,441,20.07492065,70.45440674,0.694296896,2023-10-19T15:07:21.313Z,650dc7d640e0be7842fc4239,0
65318da596cc8d75252fb94c,443,20.28587341,69.8425293,0.717977345,2023-10-19T15:12:21.311Z,650dc7d640e0be7842fc4239,0
65318ed196cc8d75252fb94e,447,20.34461975,69.76623535,0.722409666,2023-10-19T15:17:21.312Z,650dc7d640e0be7842fc4239,0
65318ffd96cc8d75252fb950,441,20.36865234,69.36035156,0.733194828,2023-10-19T15:22:21.314Z,650dc7d640e0be7842fc4239,0
6531912996cc8d75252fb952,447,20.34996033,69.43359375,0.730598688,2023-10-19T15:27:21.312Z,650dc7d640e0be7842fc4239,0
6531925596cc8d75252fb954,445,20.48080444,69.60601807,0.732366383,2023-10-19T15:32:21.324Z,650dc7d640e0be7842fc4239,0
6531938196cc8d75252fb956,447,20.50750732,70.14160156,0.720646739,2023-10-19T15:37:21.321Z,650dc7d640e0be7842fc4239,0
653194ad96cc8d75252fb958,443,20.29922485,70.12481689,0.71184355,2023-10-19T15:42:21.316Z,650dc7d640e0be7842fc4239,0
653195d996cc8d75252fb95a,444,20.35263062,70.39031982,0.707847714,2023-10-19T15:47:21.325Z,650dc7d640e0be7842fc4239,0
6531970596cc8d75252fb95c,447,20.48881531,70.51391602,0.710841,2023-10-19T15:52:21.324Z,650dc7d640e0be7842fc4239,0
6531983196cc8d75252fb95e,447,20.4006958,70.78704834,0.70043838,2023-10-19T15:57:21.800Z,650dc7d640e0be7842fc4239,0
6531995d96cc8d75252fb960,448,20.52352905,70.7611084,0.706392109,2023-10-19T16:02:21.336Z,650dc7d640e0be7842fc4239,0
65319a8996cc8d75252fb962,447,20.30990601,70.76263428,0.697105765,2023-10-19T16:07:21.321Z,650dc7d640e0be7842fc4239,0
65319bb596cc8d75252fb964,445,20.02685547,71.20513916,0.674645782,2023-10-19T16:12:21.487Z,650dc7d640e0be7842fc4239,0
65319ce196cc8d75252fb966,447,20.09361267,71.08917236,0.680166483,2023-10-19T16:17:21.320Z,650dc7d640e0be7842fc4239,0
65319e0d96cc8d75252fb968,450,20.34996033,70.70159912,0.700290799,2023-10-19T16:22:21.853Z,650dc7d640e0be7842fc4239,0
65319f3996cc8d75252fb96a,447,20.34996033,70.64666748,0.70160377,2023-10-19T16:27:21.802Z,650dc7d640e0be7842fc4239,0
6531a06596cc8d75252fb96c,448,20.38467407,70.77331543,0.70007515,2023-10-19T16:32:21.668Z,650dc7d640e0be7842fc4239,0
6531a19196cc8d75252fb96e,453,20.38200378,70.95031738,0.695720673,2023-10-19T16:37:21.326Z,650dc7d640e0be7842fc4239,0
6531a2bd96cc8d75252fb970,449,20.27252197,70.60089111,0.699345589,2023-10-19T16:42:21.956Z,650dc7d640e0be7842fc4239,0
6531a3e996cc8d75252fb972,446,20.37666321,70.52764893,0.705610693,2023-10-19T16:47:21.286Z,650dc7d640e0be7842fc4239,0
6531a51596cc8d75252fb974,445,20.23780823,70.31402588,0.70465672,2023-10-19T16:52:21.291Z,650dc7d640e0be7842fc4239,0
6531a64196cc8d75252fb976,445,20.07492065,70.262146,0.698814869,2023-10-19T16:57:21.291Z,650dc7d640e0be7842fc4239,0
6531a76d96cc8d75252fb978,443,20.19241333,69.81201172,0.714565575,2023-10-19T17:02:21.293Z,650dc7d640e0be7842fc4239,0
6531a89996cc8d75252fb97a,448,20.12832642,69.50531006,0.718971014,2023-10-19T17:07:21.278Z,650dc7d640e0be7842fc4239,0
6531a9c596cc8d75252fb97c,447,20.0642395,69.33288574,0.720175624,2023-10-19T17:12:21.282Z,650dc7d640e0be7842fc4239,0
6531aaf196cc8d75252fb97e,445,20.11764526,68.98498535,0.730755806,2023-10-19T17:17:21.374Z,650dc7d640e0be7842fc4239,0
6531ac1d96cc8d75252fb980,444,20.08560181,68.65997314,0.736951411,2023-10-19T17:22:21.283Z,650dc7d640e0be7842fc4239,0
6531ad4996cc8d75252fb982,445,20.05622864,68.64013672,0.736078978,2023-10-19T17:27:21.291Z,650dc7d640e0be7842fc4239,0
6531ae7596cc8d75252fb984,444,20.05088806,68.36700439,0.742244601,2023-10-19T17:32:21.284Z,650dc7d640e0be7842fc4239,0
6531afa196cc8d75252fb986,448,19.98413086,68.02825928,0.747099698,2023-10-19T17:37:21.302Z,650dc7d640e0be7842fc4239,0
6531b0d096cc8d75252fb988,447,20.0428772,67.51556396,0.761845291,2023-10-19T17:42:24.423Z,650dc7d640e0be7842fc4239,0
