_id,co2,temperatura,humedad,fecha,sensor,__v
650f07458748ed5dd33b58df,501,28.3341217,47.42889404,2023-09-23T10:41:57.609Z,650dc7d640e0be7842fc4239,0
650f07818748ed5dd33b58e1,502,28.44360352,47.26867676,2023-09-23T10:42:57.656Z,650dc7d640e0be7842fc4239,0
650f07bd8748ed5dd33b58e3,499,28.58779907,46.94366455,2023-09-23T10:43:57.554Z,650dc7d640e0be7842fc4239,0
650f07f98748ed5dd33b58e5,492,28.70262146,46.66290283,2023-09-23T10:44:57.554Z,650dc7d640e0be7842fc4239,0
650f08368748ed5dd33b58e7,493,28.72131348,46.50878906,2023-09-23T10:45:58.004Z,650dc7d640e0be7842fc4239,0
650f08718748ed5dd33b58e9,494,28.79608154,46.29974365,2023-09-23T10:46:57.554Z,650dc7d640e0be7842fc4239,0
650f08ad8748ed5dd33b58eb,491,28.86550903,46.27380371,2023-09-23T10:47:57.554Z,650dc7d640e0be7842fc4239,0
650f08e98748ed5dd33b58ed,490,28.94561768,46.24633789,2023-09-23T10:48:57.575Z,650dc7d640e0be7842fc4239,0
650f09258748ed5dd33b58ef,490,28.97499084,46.19140625,2023-09-23T10:49:57.555Z,650dc7d640e0be7842fc4239,0
650f09618748ed5dd33b58f1,493,29.03106689,46.03881836,2023-09-23T10:50:57.556Z,650dc7d640e0be7842fc4239,0
650f099d8748ed5dd33b58f3,490,29.07112122,45.87249756,2023-09-23T10:51:57.554Z,650dc7d640e0be7842fc4239,0
650f09d98748ed5dd33b58f5,490,29.08714294,45.97015381,2023-09-23T10:52:57.555Z,650dc7d640e0be7842fc4239,0
650f0a158748ed5dd33b58f7,489,29.1191864,45.81756592,2023-09-23T10:53:57.554Z,650dc7d640e0be7842fc4239,0
650f0a518748ed5dd33b58f9,492,29.18327332,45.74890137,2023-09-23T10:54:57.566Z,650dc7d640e0be7842fc4239,0
650f0a8d8748ed5dd33b58fb,488,29.15924072,45.55664063,2023-09-23T10:55:57.558Z,650dc7d640e0be7842fc4239,0
650f0ac98748ed5dd33b58fd,483,29.19662476,45.45288086,2023-09-23T10:56:57.558Z,650dc7d640e0be7842fc4239,0
650f0b058748ed5dd33b58ff,485,29.2099762,45.55664063,2023-09-23T10:57:57.554Z,650dc7d640e0be7842fc4239,0
650f0b418748ed5dd33b5901,483,29.23400879,45.56427002,2023-09-23T10:58:57.558Z,650dc7d640e0be7842fc4239,0
650f0b7d8748ed5dd33b5903,481,29.2767334,45.68023682,2023-09-23T10:59:57.557Z,650dc7d640e0be7842fc4239,0
650f0bb98748ed5dd33b5905,480,29.2980957,45.79772949,2023-09-23T11:00:57.556Z,650dc7d640e0be7842fc4239,0
650f0bf58748ed5dd33b5907,481,29.36752319,45.77484131,2023-09-23T11:01:57.563Z,650dc7d640e0be7842fc4239,0
650f0c318748ed5dd33b5909,479,29.35684204,45.77484131,2023-09-23T11:02:57.561Z,650dc7d640e0be7842fc4239,0
650f0c6d8748ed5dd33b590b,480,29.3434906,45.7824707,2023-09-23T11:03:57.547Z,650dc7d640e0be7842fc4239,0
650f0ca98748ed5dd33b590d,481,29.4102478,45.93811035,2023-09-23T11:04:57.558Z,650dc7d640e0be7842fc4239,0
650f0ce58748ed5dd33b590f,481,29.50637817,46.0144043,2023-09-23T11:05:57.558Z,650dc7d640e0be7842fc4239,0
650f0d218748ed5dd33b5911,483,29.62921143,46.03881836,2023-09-23T11:06:57.556Z,650dc7d640e0be7842fc4239,0
650f0d5d8748ed5dd33b5913,482,29.70397949,45.76568604,2023-09-23T11:07:57.557Z,650dc7d640e0be7842fc4239,0
650f0d998748ed5dd33b5915,480,29.73869324,45.54138184,2023-09-23T11:08:57.557Z,650dc7d640e0be7842fc4239,0
650f0dd58748ed5dd33b5917,476,29.76806641,45.19958496,2023-09-23T11:09:57.561Z,650dc7d640e0be7842fc4239,0
650f0e118748ed5dd33b5919,474,29.82414246,44.96307373,2023-09-23T11:10:57.612Z,650dc7d640e0be7842fc4239,0
650f0e4d8748ed5dd33b591b,469,29.81880188,44.85778809,2023-09-23T11:11:57.560Z,650dc7d640e0be7842fc4239,0
650f0e898748ed5dd33b591d,468,29.792099,44.89898682,2023-09-23T11:12:57.550Z,650dc7d640e0be7842fc4239,0
650f0ec58748ed5dd33b591f,469,29.78675842,44.99816895,2023-09-23T11:13:57.560Z,650dc7d640e0be7842fc4239,0
650f0f018748ed5dd33b5921,468,29.80545044,45.13702393,2023-09-23T11:14:57.560Z,650dc7d640e0be7842fc4239,0
